28.01.2022 00:00:00.006 [scheduling-1] DEBUG  r.s.d.a.LoggingAspect - NotificationService.sendBirthdayEvent: []
28.01.2022 00:00:00.027 [scheduling-1] INFO   r.s.d.s.NotificationService - !!!createAllFriendNotification person=user5 notification type=BIRTHDAY
28.01.2022 00:00:00.028 [scheduling-1] DEBUG  r.s.d.a.LoggingAspect - FriendshipStatusRepository.findByCode: [FRIEND]
28.01.2022 00:00:00.030 [scheduling-1] DEBUG  r.s.d.a.LoggingAspect - FriendshipStatusRepository.findByCode: [SUBSCRIBED]
28.01.2022 00:00:00.036 [scheduling-1] DEBUG  r.s.d.a.LoggingAspect - FriendshipStatusRepository.findByCode: [FRIEND]
28.01.2022 00:00:00.038 [scheduling-1] DEBUG  r.s.d.a.LoggingAspect - FriendshipStatusRepository.findByCode: [SUBSCRIBED]
28.01.2022 00:00:00.043 [scheduling-1] INFO   r.s.d.s.NotificationService - !!!createAllFriendNotification dstPerson notification type=BIRTHDAY
28.01.2022 00:00:00.043 [scheduling-1] INFO   r.s.d.s.NotificationService - !!!createOnePersonNotification person=user4 notification type=BIRTHDAY
28.01.2022 00:00:00.043 [scheduling-1] DEBUG  r.s.d.a.LoggingAspect - AccountNotificationRepository.findByAuthorId: [Person(registrationDate=2021-10-28T14:31:04.812073+03:00[Europe/Moscow], phone=+7(999)666-66-66, photo=null, description=Hi, im test user number 4!, city=ru.skillbox.diplom.model.City@6182f825, country=null, confirmationCode=3655, isApproved=true, permission=ALL, lastOnlineTime=null, isBlocked=false, accountNotifications=ru.skillbox.diplom.model.AccountNotifications@43178705)]
28.01.2022 00:00:00.045 [scheduling-1] INFO   r.s.d.s.NotificationService - !!!createOnePersonNotification isEnable person=user4 notification type=BIRTHDAY
28.01.2022 00:00:00.045 [scheduling-1] DEBUG  r.s.d.a.LoggingAspect - NotificationTypeRepository.findByName: [BIRTHDAY]
28.01.2022 00:00:00.050 [scheduling-1] INFO   r.s.d.s.NotificationService - !!!sendNotification personID=4 notification type=BIRTHDAY
28.01.2022 00:00:00.050 [scheduling-1] DEBUG  r.s.d.a.LoggingAspect - SocketIOService.getClientStorage: []
28.01.2022 00:00:00.050 [scheduling-1] DEBUG  r.s.d.a.LoggingAspect - ClientSocketIOTempStorage.getClients: [4]
28.01.2022 00:00:00.050 [scheduling-1] INFO   r.s.d.s.NotificationService - !!!createOnePersonNotification created person=user4 notification type=BIRTHDAY
28.01.2022 00:00:00.050 [scheduling-1] DEBUG  r.s.d.a.LoggingAspect - NotificationService.sendBirthdayEvent has returned null
28.01.2022 00:01:18.010 [http-nio-8086-exec-7] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername: [javaprogroup19@gmail.com]
28.01.2022 00:01:18.010 [http-nio-8086-exec-7] DEBUG  r.s.d.a.LoggingAspect - UserRepository.findByEmail: [javaprogroup19@gmail.com]
28.01.2022 00:01:18.020 [http-nio-8086-exec-7] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername has returned org.springframework.security.core.userdetails.User [Username=javaprogroup19@gmail.com, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, credentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[developers:read]]
28.01.2022 00:01:18.022 [http-nio-8086-exec-7] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername: [javaprogroup19@gmail.com]
28.01.2022 00:01:18.022 [http-nio-8086-exec-7] DEBUG  r.s.d.a.LoggingAspect - UserRepository.findByEmail: [javaprogroup19@gmail.com]
28.01.2022 00:01:18.027 [http-nio-8086-exec-7] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername has returned org.springframework.security.core.userdetails.User [Username=javaprogroup19@gmail.com, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, credentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[developers:read]]
28.01.2022 00:01:18.953 [http-nio-8086-exec-8] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername: [javaprogroup19@gmail.com]
28.01.2022 00:01:18.953 [http-nio-8086-exec-8] DEBUG  r.s.d.a.LoggingAspect - UserRepository.findByEmail: [javaprogroup19@gmail.com]
28.01.2022 00:01:18.959 [http-nio-8086-exec-8] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername has returned org.springframework.security.core.userdetails.User [Username=javaprogroup19@gmail.com, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, credentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[developers:read]]
28.01.2022 00:01:18.961 [http-nio-8086-exec-8] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername: [javaprogroup19@gmail.com]
28.01.2022 00:01:18.961 [http-nio-8086-exec-8] DEBUG  r.s.d.a.LoggingAspect - UserRepository.findByEmail: [javaprogroup19@gmail.com]
28.01.2022 00:01:18.966 [http-nio-8086-exec-8] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername has returned org.springframework.security.core.userdetails.User [Username=javaprogroup19@gmail.com, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, credentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[developers:read]]
28.01.2022 00:02:12.792 [http-nio-8086-exec-9] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername: [javaprogroup19@gmail.com]
28.01.2022 00:02:12.792 [http-nio-8086-exec-9] DEBUG  r.s.d.a.LoggingAspect - UserRepository.findByEmail: [javaprogroup19@gmail.com]
28.01.2022 00:02:12.801 [http-nio-8086-exec-9] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername has returned org.springframework.security.core.userdetails.User [Username=javaprogroup19@gmail.com, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, credentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[developers:read]]
28.01.2022 00:02:12.803 [http-nio-8086-exec-9] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername: [javaprogroup19@gmail.com]
28.01.2022 00:02:12.804 [http-nio-8086-exec-9] DEBUG  r.s.d.a.LoggingAspect - UserRepository.findByEmail: [javaprogroup19@gmail.com]
28.01.2022 00:02:12.809 [http-nio-8086-exec-9] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername has returned org.springframework.security.core.userdetails.User [Username=javaprogroup19@gmail.com, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, credentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[developers:read]]
28.01.2022 00:02:13.784 [http-nio-8086-exec-10] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername: [javaprogroup19@gmail.com]
28.01.2022 00:02:13.784 [http-nio-8086-exec-10] DEBUG  r.s.d.a.LoggingAspect - UserRepository.findByEmail: [javaprogroup19@gmail.com]
28.01.2022 00:02:13.792 [http-nio-8086-exec-10] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername has returned org.springframework.security.core.userdetails.User [Username=javaprogroup19@gmail.com, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, credentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[developers:read]]
28.01.2022 00:02:13.794 [http-nio-8086-exec-10] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername: [javaprogroup19@gmail.com]
28.01.2022 00:02:13.794 [http-nio-8086-exec-10] DEBUG  r.s.d.a.LoggingAspect - UserRepository.findByEmail: [javaprogroup19@gmail.com]
28.01.2022 00:02:13.798 [http-nio-8086-exec-10] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername has returned org.springframework.security.core.userdetails.User [Username=javaprogroup19@gmail.com, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, credentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[developers:read]]
28.01.2022 00:02:14.290 [http-nio-8086-exec-3] DEBUG  r.s.d.a.LoggingAspect - UserDetailsServiceImpl.loadUserByUsername: [javaprogroup19@gmail.com]
28.01.2022 00:02:14.290 [http-nio-8086-exec-3] DEBUG  r.s.d.a.LoggingAspect - UserRepository.findByEmail: [javaprogroup19@gmail.com]
